Id,Period,Data_value,Series_title_2
696,2011.07,3784.6,RTS total industries
697,2011.08,3646.7,RTS total industries
698,2011.09,3709.3,RTS total industries
699,2011.10,3977.3,RTS total industries
700,2011.11,4016,RTS total industries
701,2011.12,5042.1,RTS total industries
702,2012.01,3927.7,RTS total industries
703,2012.02,3756.9,RTS total industries
704,2012.03,4096.2,RTS total industries
705,2012.04,3856.2,RTS total industries
706,2012.05,3930,RTS total industries
707,2012.06,3793.9,RTS total industries
708,2012.07,3846.9,RTS total industries
709,2012.08,3924.5,RTS total industries
710,2012.09,3885.7,RTS total industries
711,2012.10,4113,RTS total industries
712,2012.11,4279.1,RTS total industries
713,2012.12,5242.4,RTS total industries
714,2013.01,4169.4,RTS total industries
715,2013.02,3858.5,RTS total industries
716,2013.03,4289.1,RTS total industries
717,2013.04,4077,RTS total industries
718,2013.05,4171.2,RTS total industries
719,2013.06,4001.6,RTS total industries
720,2013.07,4140,RTS total industries
721,2013.08,4183,RTS total industries
